Department,Category,Subcategory,Brand,ALTERNATIVE SWEETENER TYPE,BRAND POSITION,CERTIFIED HOWGOOD RATING,CERTIFIED NON-GMO PROJECT VERIFIED,COMPANY,EQ UNIT SIZE,FAIR TRADE,FLAVOR,FUNCTIONAL INGREDIENT,GRAB N GO,LABELED GLUTEN FREE,LABELED NON-GMO,LABELED ORGANIC,LABELED VEGAN,PACK COUNT,PACKAGING TYPE - PRIMARY,POSITIONING GROUP,PRE AND PROBIOTICS,PRODUCT TYPE,RAW,SIZE,STORAGE,Dollars,Units,Avg % ACV,Max % ACV,TDP,ARP,% of Stores Selling,Average Weekly Dollars Per Store Selling Per Item,Average Weekly Units Per Store Selling Per Item
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,HEALTH ADE,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,CERTIFIED NON-GMO PROJECT VERIFIED,HEALTH-ADE LLC,16,NOT FAIR-TRADE,GINGER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,2446818.17,767742.85,82.57538462,88.19,88.19,3.187028274,82.22,41.202032,12.92804094
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,HEALTH ADE,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,CERTIFIED NON-GMO PROJECT VERIFIED,HEALTH-ADE LLC,16,NOT FAIR-TRADE,APPLE,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,2345686.89,753385.51,84.04076923,88.67,88.67,3.113528013,82.78,39.23187178,12.6004557
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,MANGO,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,2310016.16,783693.48,89.92076923,92.61,92.61,2.947601606,90.42,35.37080353,11.99985896
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE ORANGE,SIMPLY,UNKNOWN,CONVENTIONAL,NOT CERTIFIED,CERTIFIED NON-GMO PROJECT VERIFIED,THE COCA-COLA CO,52,FAIR-TRADE UNKNOWN,UNKNOWN,SUBCATEGORY NOT CODED,NOT GRAB N GO,NOT LABELED GLUTEN FREE,UNKNOWN,NOT LABELED ORGANIC,NOT LABELED VEGAN,1,PLASTIC,CONVENTIONAL POSITIONING GROUP,UNKNOWN,RF JUICE - ORANGE - NOT FROM CONCENTRATE,SUBCATEGORY NOT CODED,52,REFRIGERATED,2215336.22,532317.21,60.46538462,61.95,61.95,4.161684384,48.34,63.44938438,15.24608272
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,CRANBERRY,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,2176163.28,738523.52,89.55153846,93.04,93.04,2.946640454,90.07,33.45073969,11.35216197
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,GREEN FOODS,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,2118124.57,714109.15,90.84461538,94.43,94.43,2.96610759,91.45,32.06728553,10.81123478
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE ORANGE,UNCLE MATTS,UNKNOWN,NATURAL - STANDARDS,NOT CERTIFIED,NOT CERTIFIED,DEAN FOODS,52,FAIR-TRADE UNKNOWN,UNKNOWN,SUBCATEGORY NOT CODED,UNKNOWN,LABELED GLUTEN FREE,NOT LABELED NON-GMO,LABELED ORGANIC 100%,NOT LABELED VEGAN,1,UNKNOWN,NATURAL POSITIONING GROUP,NOT PREBIOTIC OR PROBIOTIC,RF JUICE - ORANGE - NOT FROM CONCENTRATE,SUBCATEGORY NOT CODED,52,REFRIGERATED,2105889.77,313358.2,48.42,92.31,92.31,6.720391456,90.32,32.28093584,4.803430878
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,KEVITA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GOOD,CERTIFIED NON-GMO PROJECT VERIFIED,PEPSICO INC,15.2,NOT FAIR-TRADE,GINGER,PROBIOTIC SUPPLEMENT,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PREBIOTIC & PROBIOTIC,RF CULTURED / FERMENTED BEV - OTHER,RAW POSITIONED,15.2,REFRIGERATED,2084577.33,751784.69,87.76307692,92.57,92.57,2.772838231,88.76,32.51585121,11.72655903
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,BERRY,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,2066198.12,703171.86,85.77538462,89.26,89.26,2.938397051,84.88,33.70241343,11.46965942
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,KEVITA,AGAVE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GOOD,CERTIFIED NON-GMO PROJECT VERIFIED,PEPSICO INC,15.2,NOT FAIR-TRADE,LEMON,PROBIOTIC SUPPLEMENT,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PREBIOTIC & PROBIOTIC,RF CULTURED / FERMENTED BEV - OTHER,RAW POSITIONED,15.2,REFRIGERATED,2039244.38,737039.03,87.32615385,92.59,92.59,2.766806501,89.47,31.55631244,11.40531961
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,OTHER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,1979358.79,659414.98,89.41230769,93.18,93.18,3.001689149,89.84,30.50346614,10.16210028
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE ORANGE,EVOLUTION,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - NOT RATED,CERTIFIED NON-GMO PROJECT VERIFIED,STARBUCKS CORP,59,NOT FAIR-TRADE,ORANGE,SUBCATEGORY NOT CODED,NOT GRAB N GO,NOT LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,NOT LABELED VEGAN,1,PLASTIC,NATURAL POSITIONING GROUP,NOT PREBIOTIC OR PROBIOTIC,RF JUICE - ORANGE - NOT FROM CONCENTRATE,SUBCATEGORY NOT CODED,59,REFRIGERATED,1976926.96,235188.88,57.64538462,65.59,65.59,8.405699113,52.64,51.9959065,6.18579202
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,HEALTH ADE,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,CERTIFIED NON-GMO PROJECT VERIFIED,HEALTH-ADE LLC,16,NOT FAIR-TRADE,POMEGRANATE,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,1887841.22,607236.94,75.73153846,81.51,81.51,3.108903783,73.05,35.77994386,11.50886176
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,16,NOT FAIR-TRADE,OTHER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 100%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,1833308.96,617663.14,89.35153846,93.79,93.79,2.968137228,89.91,28.23072776,9.511260967
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,KEVITA,STEVIA,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - NOT RATED,CERTIFIED NON-GMO PROJECT VERIFIED,PEPSICO INC,15.2,NOT FAIR-TRADE,FRUIT - MIXED,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,15.2,REFRIGERATED,1752616.25,641441.29,80.85846154,84.73,84.73,2.732309687,81.43,29.79866514,10.90603503
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,GT KOMBUCHA,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,MILLENNIUM PRODUCTS,48,NOT FAIR-TRADE,GINGER,KOMBUCHA,UNKNOWN,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,48,REFRIGERATED,1747032.65,235289.38,39.71923077,45.19,45.19,7.425038266,47.43,50.99672744,6.868210724
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,REBBL,STEVIA,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,REBBL INC,12,FAIR-TRADE CLAIM,CHOCOLATE,MUSHROOMS - REISHI,GRAB N GO FUNCTIONAL,NOT LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,PLASTIC,NATURAL POSITIONING GROUP,NOT PREBIOTIC OR PROBIOTIC,RF FUNCTIONAL JUICE & BEV,NOT RAW POSITIONED,12,REFRIGERATED,1744865.98,490186.35,87.25615385,93.13,93.13,3.559597243,90.13,26.80322887,7.529848755
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE & JUICE DRINKS & OTHER FUNCTIONAL BEV,REBBL,STEVIA,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,NOT CERTIFIED,REBBL INC,12,NOT FAIR-TRADE,SPICE,TURMERIC,GRAB N GO FUNCTIONAL,NOT LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,NOT LABELED VEGAN,1,PLASTIC,NATURAL POSITIONING GROUP,NOT PREBIOTIC OR PROBIOTIC,RF FUNCTIONAL JUICE & BEV,NOT RAW POSITIONED,12,REFRIGERATED,1651236.99,464809.37,90.68230769,96.3,96.3,3.552503664,93.79,24.37514925,6.861400172
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,KEVITA,STEVIA,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - NOT RATED,CERTIFIED NON-GMO PROJECT VERIFIED,PEPSICO INC,15.2,NOT FAIR-TRADE,OTHER,PROBIOTIC SUPPLEMENT,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PREBIOTIC & PROBIOTIC,RF CULTURED / FERMENTED BEV - OTHER,RAW POSITIONED,15.2,REFRIGERATED,1618622.21,589352.21,87.15769231,91.41,91.41,2.746442929,86.93,25.77924692,9.386412747
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF JUICE ORANGE,UNCLE MATTS,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,NOT CERTIFIED,NOT CERTIFIED,DEAN FOODS,52,NOT FAIR-TRADE,PLAIN/UNFLAVORED,SUBCATEGORY NOT CODED,NOT GRAB N GO,LABELED GLUTEN FREE,NOT LABELED NON-GMO,LABELED ORGANIC 95-99%,NOT LABELED VEGAN,1,PLASTIC,NATURAL POSITIONING GROUP,NOT PREBIOTIC OR PROBIOTIC,RF JUICE - ORANGE - NOT FROM CONCENTRATE,SUBCATEGORY NOT CODED,52,REFRIGERATED,1617633.82,240912.3,47.41076923,89.98,89.98,6.714616979,85.61,26.16074646,3.896089165
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,KEVITA,STEVIA,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - NOT RATED,CERTIFIED NON-GMO PROJECT VERIFIED,PEPSICO INC,15.2,NOT FAIR-TRADE,CHERRY,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,15.2,REFRIGERATED,1546495.01,569316.56,78.78384615,85.29,85.29,2.716406159,82.61,25.91852672,9.54147694
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF COCONUT & PLANT WATER,HARMLESS HARVEST,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - NOT RATED,NOT CERTIFIED,HARMLESS HARVEST,8.75,FAIR-TRADE CLAIM,PLAIN/UNFLAVORED,MISC SUPPLEMENTS - OTHER,GRAB N GO FUNCTIONAL,NOT LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 100%,NOT LABELED VEGAN,1,PLASTIC,NATURAL POSITIONING GROUP,NOT PREBIOTIC OR PROBIOTIC,RF COCONUT WATER,NOT RAW POSITIONED,8.75,REFRIGERATED,1518355.35,553853.29,74.08230769,80.8,80.8,2.741439615,70.47,29.83070815,10.8814026
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,HEALTH ADE,NO ALTERNATIVE SWEETENER PRESENCE,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - GREAT,CERTIFIED NON-GMO PROJECT VERIFIED,HEALTH-ADE LLC,16,FAIR-TRADE UNKNOWN,ORANGE BLENDS,KOMBUCHA,GRAB N GO FUNCTIONAL,UNKNOWN,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,16,REFRIGERATED,1476537.29,493894.73,68.22384615,77.34,77.34,2.989578953,69.77,29.30016778,9.800767344
REFRIGERATED,REFRIGERATED JUICES & FUNCTIONAL BEVERAGES,RF KOMBUCHA & FERMENTED BEVERAGES,KEVITA,STEVIA,NATURAL - STANDARDS,CERTIFIED HOWGOOD RATING - NOT RATED,CERTIFIED NON-GMO PROJECT VERIFIED,PEPSICO INC,15.2,NOT FAIR-TRADE,GINGER,KOMBUCHA,GRAB N GO FUNCTIONAL,LABELED GLUTEN FREE,LABELED NON-GMO PRODUCT CLAIM,LABELED ORGANIC 95-99%,LABELED VEGAN,1,GLASS,NATURAL POSITIONING GROUP,PROBIOTIC,KOMBUCHA,RAW POSITIONED,15.2,REFRIGERATED,1456390.56,536958.94,80.64615385,86.24,86.24,2.712294091,82.34,24.48845598,9.028687581
